iter	Passed	Remaining
0	3	3476
1	7	3561
2	11	3742
3	15	3836
4	19	3805
5	23	3804
6	26	3757
7	30	3746
8	34	3753
9	38	3754
10	42	3766
11	46	3772
12	50	3769
13	54	3793
14	59	3826
15	63	3840
16	67	3836
17	72	3877
18	77	3931
19	82	3969
20	86	3993
21	91	4023
22	95	4023
23	100	4026
24	104	4018
25	108	4003
26	112	3999
27	116	3984
28	120	3969
29	124	3961
30	128	3950
31	132	3941
32	136	3936
33	140	3926
34	143	3916
35	147	3904
36	152	3907
37	156	3915
38	161	3934
39	166	3939
40	170	3932
41	174	3924
42	178	3913
43	182	3900
44	186	3893
45	189	3875
46	193	3863
47	196	3848
48	201	3851
49	205	3854
50	209	3842
51	214	3852
52	219	3864
53	223	3861
54	228	3869
55	232	3870
56	236	3864
57	240	3855
58	244	3848
59	248	3843
60	252	3837
61	256	3823
62	259	3811
63	263	3798
64	267	3795
65	271	3785
66	274	3775
67	278	3765
68	282	3753
69	286	3747
70	289	3736
71	293	3728
72	296	3716
73	300	3703
74	303	3695
75	307	3689
76	311	3680
77	315	3672
78	318	3660
79	322	3657
80	326	3650
81	329	3641
82	333	3636
83	337	3629
84	341	3625
85	345	3621
86	350	3625
87	354	3618
88	357	3610
89	362	3608
90	365	3603
91	369	3599
92	373	3594
93	377	3588
94	381	3583
95	385	3575
96	388	3567
97	392	3560
98	395	3550
99	399	3543
100	403	3535
101	406	3530
102	410	3523
103	414	3516
104	417	3509
105	421	3504
106	425	3497
107	428	3490
108	432	3485
109	436	3476
110	439	3470
111	443	3464
112	447	3457
113	450	3449
114	454	3443
115	457	3436
116	461	3431
117	465	3426
118	469	3421
119	472	3413
120	475	3405
121	479	3396
122	482	3391
123	486	3383
124	489	3377
125	493	3369
126	496	3362
127	500	3358
128	504	3354
129	508	3354
130	513	3352
131	517	3352
132	521	3348
133	525	3346
134	529	3341
135	533	3337
136	537	3335
137	541	3331
138	545	3329
139	561	3397
140	565	3392
141	569	3387
142	572	3381
143	577	3378
144	581	3375
145	585	3370
146	588	3365
147	593	3364
148	597	3362
149	601	3356
150	605	3353
151	609	3348
152	613	3342
153	617	3338
154	621	3334
155	624	3328
156	628	3321
157	631	3315
158	635	3309
159	639	3306
160	644	3304
161	648	3300
162	652	3299
163	656	3295
164	660	3291
165	664	3286
166	668	3280
167	671	3274
168	675	3267
169	678	3262
170	682	3255
171	685	3249
172	689	3242
173	692	3237
174	696	3231
175	700	3225
176	703	3219
177	707	3215
178	711	3210
179	714	3203
180	718	3198
181	721	3191
182	725	3189
183	729	3185
184	733	3180
185	739	3182
186	742	3178
187	746	3173
188	750	3169
189	754	3164
190	758	3159
191	761	3154
192	765	3148
193	768	3142
194	772	3139
195	777	3137
196	781	3133
197	785	3129
198	789	3124
199	792	3120
200	796	3114
201	799	3107
202	803	3101
203	806	3096
204	810	3091
205	814	3086
206	817	3081
207	821	3075
208	824	3070
209	828	3065
210	832	3061
211	836	3056
212	838	3046
213	841	3039
214	844	3033
215	848	3029
216	852	3024
217	855	3019
218	859	3013
219	862	3007
220	866	3003
221	869	2997
222	873	2992
223	876	2986
224	880	2981
225	883	2975
226	887	2970
227	890	2965
228	894	2960
229	897	2953
230	901	2948
231	904	2943
232	908	2938
233	911	2934
234	915	2929
235	919	2925
236	923	2922
237	927	2918
238	931	2914
239	935	2912
240	939	2908
241	944	2907
242	948	2903
243	951	2898
244	955	2894
245	958	2888
246	962	2883
247	965	2878
248	969	2874
249	973	2870
250	977	2865
251	979	2856
252	982	2850
253	986	2845
254	989	2841
255	993	2836
256	996	2831
257	1000	2826
258	1004	2823
259	1008	2818
260	1011	2813
261	1015	2808
262	1018	2803
263	1022	2799
264	1025	2794
265	1029	2789
266	1032	2783
267	1035	2778
268	1038	2772
269	1042	2768
270	1046	2764
271	1050	2762
272	1054	2758
273	1058	2754
274	1062	2750
275	1065	2745
276	1069	2740
277	1072	2735
278	1076	2731
279	1080	2727
280	1083	2723
281	1088	2720
282	1092	2716
283	1096	2713
284	1100	2710
285	1105	2708
286	1109	2705
287	1113	2701
288	1117	2697
289	1121	2694
290	1125	2690
291	1128	2686
292	1132	2682
293	1136	2679
294	1140	2675
295	1144	2671
296	1148	2667
297	1151	2663
298	1155	2658
299	1159	2654
300	1162	2649
301	1166	2646
302	1170	2642
303	1174	2637
304	1178	2634
305	1181	2630
306	1185	2626
307	1189	2622
308	1194	2620
309	1198	2617
310	1202	2613
311	1206	2609
312	1209	2605
313	1213	2600
314	1216	2595
315	1220	2590
316	1223	2586
317	1227	2581
318	1230	2577
319	1234	2572
320	1238	2569
321	1241	2564
322	1245	2560
323	1248	2555
324	1252	2550
325	1255	2546
326	1259	2541
327	1262	2537
328	1266	2532
329	1269	2528
330	1273	2523
331	1276	2518
332	1280	2514
333	1283	2509
334	1287	2505
335	1290	2500
336	1293	2495
337	1297	2491
338	1301	2487
339	1304	2482
340	1307	2477
341	1311	2473
342	1314	2468
343	1318	2465
344	1322	2461
345	1327	2458
346	1330	2454
347	1334	2450
348	1338	2447
349	1341	2442
350	1345	2437
351	1348	2432
352	1352	2428
353	1355	2424
354	1359	2419
355	1362	2415
356	1365	2410
357	1369	2405
358	1372	2401
359	1376	2396
360	1379	2392
361	1382	2387
362	1386	2383
363	1389	2378
364	1393	2374
365	1396	2370
366	1400	2365
367	1403	2360
368	1407	2356
369	1410	2351
370	1413	2347
371	1417	2343
372	1420	2338
373	1424	2334
374	1428	2330
375	1432	2327
376	1435	2323
377	1439	2318
378	1442	2314
379	1446	2310
380	1449	2305
381	1453	2301
382	1457	2297
383	1461	2294
384	1465	2290
385	1468	2287
386	1472	2283
387	1476	2279
388	1480	2275
389	1483	2270
390	1487	2267
391	1491	2263
392	1494	2258
393	1498	2255
394	1501	2250
395	1505	2246
396	1508	2242
397	1512	2238
398	1516	2234
399	1519	2230
400	1522	2225
401	1526	2221
402	1530	2217
403	1533	2213
404	1537	2209
405	1540	2204
406	1544	2200
407	1547	2196
408	1551	2191
409	1554	2187
410	1557	2183
411	1561	2178
412	1564	2174
413	1568	2170
414	1571	2166
415	1575	2162
416	1579	2158
417	1582	2154
418	1586	2150
419	1589	2146
420	1594	2143
421	1597	2139
422	1601	2135
423	1605	2131
424	1609	2127
425	1612	2123
426	1616	2119
427	1619	2115
428	1623	2111
429	1627	2107
430	1631	2104
431	1636	2101
432	1640	2098
433	1645	2096
434	1649	2093
435	1653	2089
436	1656	2084
437	1660	2080
438	1663	2076
439	1667	2073
440	1672	2070
441	1676	2067
442	1680	2063
443	1684	2060
444	1688	2056
445	1692	2053
446	1696	2049
447	1700	2045
448	1704	2042
449	1708	2038
450	1712	2035
451	1716	2031
452	1720	2027
453	1724	2024
454	1728	2021
455	1733	2018
456	1737	2015
457	1742	2012
458	1746	2009
459	1750	2005
460	1754	2001
461	1757	1997
462	1761	1993
463	1765	1989
464	1769	1985
465	1772	1981
466	1776	1977
467	1779	1973
468	1783	1969
469	1787	1965
470	1790	1961
471	1794	1957
472	1797	1953
473	1801	1949
474	1805	1946
475	1809	1942
476	1813	1938
477	1817	1935
478	1821	1932
479	1826	1928
480	1830	1925
481	1834	1922
482	1838	1918
483	1843	1915
484	1847	1912
485	1851	1908
486	1856	1906
487	1861	1903
488	1866	1901
489	1871	1898
490	1876	1895
491	1880	1892
492	1886	1890
493	1890	1887
494	1895	1883
495	1899	1880
496	1903	1876
497	1907	1873
498	1911	1869
499	1915	1865
500	1919	1862
501	1924	1858
502	1927	1854
503	1931	1851
504	1934	1846
505	1938	1842
506	1942	1838
507	1945	1834
508	1949	1830
509	1952	1826
510	1956	1822
511	1959	1818
512	1963	1814
513	1967	1810
514	1971	1806
515	1974	1802
516	1979	1799
517	1982	1795
518	1986	1791
519	1990	1787
520	1994	1783
521	1998	1779
522	2001	1775
523	2005	1772
524	2009	1768
525	2014	1765
526	2018	1761
527	2022	1758
528	2027	1755
529	2031	1751
530	2035	1747
531	2039	1744
532	2042	1739
533	2045	1735
534	2049	1731
535	2053	1727
536	2056	1723
537	2060	1719
538	2063	1715
539	2067	1711
540	2071	1707
541	2075	1703
542	2078	1699
543	2082	1695
544	2085	1691
545	2089	1687
546	2093	1684
547	2097	1679
548	2100	1675
549	2104	1671
550	2107	1667
551	2111	1664
552	2115	1660
553	2119	1656
554	2122	1652
555	2125	1647
556	2129	1643
557	2132	1639
558	2136	1635
559	2139	1631
560	2143	1627
561	2146	1623
562	2150	1619
563	2154	1615
564	2158	1611
565	2162	1608
566	2166	1604
567	2170	1600
568	2173	1596
569	2177	1592
570	2180	1588
571	2184	1584
572	2187	1580
573	2191	1576
574	2195	1572
575	2198	1568
576	2201	1564
577	2205	1560
578	2209	1556
579	2213	1553
