iter	Passed	Remaining
0	4	4330
1	9	4668
2	13	4579
3	18	4621
4	23	4667
5	28	4607
6	32	4583
7	37	4581
8	42	4583
9	46	4564
10	51	4547
11	55	4546
12	60	4538
13	65	4526
14	69	4527
15	74	4524
16	79	4545
17	84	4539
18	89	4541
19	93	4533
20	98	4537
21	103	4533
22	107	4523
23	113	4544
24	117	4531
25	122	4514
26	126	4506
27	131	4503
28	136	4496
29	140	4487
30	145	4478
31	150	4493
32	155	4500
33	160	4508
34	165	4512
35	170	4513
36	176	4523
37	180	4510
38	185	4516
39	190	4513
40	195	4514
41	200	4502
42	205	4506
43	209	4490
44	214	4492
45	219	4483
46	224	4484
47	229	4486
48	234	4495
49	239	4496
50	244	4495
51	249	4493
52	255	4496
53	260	4498
54	265	4493
55	269	4484
56	274	4477
57	278	4468
58	283	4457
59	288	4451
60	292	4442
61	297	4433
62	301	4427
63	307	4436
64	314	4462
65	322	4500
66	327	4495
67	332	4488
68	336	4479
69	341	4473
70	346	4468
71	350	4459
72	355	4450
73	359	4438
74	364	4432
75	369	4424
76	374	4424
77	378	4414
78	384	4423
79	415	4712
80	419	4694
81	424	4682
82	429	4673
83	433	4662
84	438	4649
85	442	4638
86	447	4629
87	451	4615
88	456	4604
89	460	4590
90	465	4584
91	469	4571
92	474	4560
93	478	4547
94	483	4537
95	487	4524
96	492	4516
97	496	4507
98	501	4495
99	505	4486
100	510	4479
101	520	4517
102	525	4511
103	530	4503
104	534	4493
105	539	4482
106	544	4475
107	548	4464
108	552	4453
109	557	4443
110	561	4434
111	566	4425
112	571	4418
113	575	4406
114	580	4399
115	584	4389
116	589	4380
117	593	4372
118	598	4363
119	602	4350
120	606	4341
121	610	4331
122	615	4323
123	620	4315
124	624	4309
125	629	4299
126	633	4293
127	638	4283
128	642	4273
129	646	4262
130	651	4255
131	655	4246
132	660	4242
133	665	4238
134	670	4230
135	675	4224
136	680	4221
137	684	4210
138	688	4201
139	693	4193
140	697	4186
141	702	4179
142	707	4173
143	711	4164
144	715	4156
145	720	4151
146	725	4144
147	729	4136
148	734	4131
149	739	4124
150	743	4117
151	747	4108
152	753	4109
153	760	4111
154	766	4112
155	772	4115
156	779	4119
157	786	4126
158	798	4158
159	804	4156
160	809	4151
161	814	4150
162	820	4146
163	825	4143
164	830	4137
165	836	4134
166	841	4129
167	846	4125
168	851	4121
169	856	4116
170	861	4111
171	866	4105
172	870	4097
173	875	4092
174	880	4086
175	887	4087
176	892	4085
177	905	4117
178	910	4110
179	914	4101
180	919	4093
181	923	4086
182	928	4078
183	932	4069
184	937	4062
185	942	4057
186	946	4051
187	951	4045
188	956	4040
189	961	4032
190	965	4025
191	970	4019
192	974	4010
193	979	4005
194	984	3999
195	989	3991
196	993	3983
197	997	3976
198	1002	3968
199	1006	3961
200	1011	3953
201	1015	3945
202	1019	3937
203	1024	3931
204	1028	3924
205	1033	3917
206	1037	3909
207	1041	3902
208	1046	3894
209	1050	3887
210	1054	3878
211	1059	3872
212	1061	3857
213	1065	3849
214	1070	3842
215	1074	3835
216	1079	3829
217	1083	3823
218	1088	3816
219	1093	3812
220	1098	3807
221	1103	3801
222	1108	3796
223	1112	3790
224	1117	3785
225	1122	3779
226	1127	3774
227	1131	3767
228	1136	3760
